CASEID,WGT2011_2015,WGT2013_2017,WGT2015_2019,WGT2011_2017,WGT2013_2019,WGT2011_2019
56139,5581.9437674,,,2845.3412308,,1986.2198676
56140,5399.3459389,,,3863.2968587,,3067.5272365
56142,5951.4443945,,,4271.874759,,3261.6901379
56144,39574.78,,,29365.5,,21350.08
56146,12191.283126,,,13015.976835,,9230.4714735
56147,2058.1924936,,,1467.1567555,,1156.009649
56148,17002.002897,,,11007.51514,,8517.9642243
56151,2791.9644969,,,1953.0721653,,1611.2736357
56152,3766.1966593,,,2692.0682553,,2133.1811725
56153,3387.7243754,,,1214.1896227,,627.61014126
56155,11145.675335,,,7075.0177861,,5126.3259105
56156,8257.0411956,,,5298.7223654,,4164.7053543
56157,1716.3438396,,,1125.8971146,,907.16845263
56159,1619.2024506,,,1108.1393676,,927.12487558
56161,5656.2105417,,,4059.3250082,,3099.1940075
56162,1970.7504371,,,1262.3351395,,1013.6938315
56163,3412.6689371,,,2420.7929135,,1867.1290702
56164,2392.1495347,,,1601.0110646,,1207.4617316
56166,2070.0697122,,,701.35863719,,394.0221
56169,9017.3356322,,,6457.972721,,5137.4264623
56170,3889.7969078,,,2613.5724052,,1974.2376408
56172,5536.0736184,,,4103.2191139,,3076.2732446
56174,6989.8233318,,,5019.4420935,,3833.2118574
56175,2671.5552354,,,1659.7854841,,1090.6736557
56176,1959.9346035,,,1893.5750664,,1180.8073866
56180,4525.6566261,,,2907.8999312,,2281.6357813
56181,1819.7335479,,,1307.2334471,,1012.9754995
56182,1881.4296617,,,1388.6977295,,928.07551926
56183,2301.4350599,,,1638.7135696,,1306.9313681
56185,3883.8157851,,,2609.6422767,,2036.3997975
56186,2739.1675395,,,1959.2380522,,1493.6592912
56188,3467.8877202,,,2829.4450778,,2057.5294564
56190,7521.9257126,,,5385.5252151,,4281.8828877
56194,7060.5917725,,,3588.5114405,,2495.7313983
56195,2642.9108246,,,1872.7958257,,1442.7049626
56196,2297.7470182,,,1261.3057669,,766.86729787
56197,3429.8359413,,,2195.3565366,,1682.5829513
56199,1046.2745337,,,576.3166,,394.0221
56200,1763.2243171,,,1246.5398156,,957.66926784
56203,1987.1747012,,,1272.8382126,,1022.1480289
56204,2035.5027985,,,1523.377554,,1110.7031478
56205,1257.1106313,,,898.86722261,,715.77333049
56210,6915.8023956,,,4950.8380896,,3172.4332345
56211,9046.3468291,,,6073.3518716,,4734.0489019
56212,5168.9200994,,,3362.8558382,,2680.2299238
56213,13517.645738,,,9065.6078185,,7015.8277232
56216,5197.4134341,,,3174.4084184,,2508.0578776
56217,5742.6270741,,,4121.5394604,,3146.7574965
56218,4535.0566623,,,2945.8601584,,2333.0795786
56219,6011.8675391,,,4035.7239973,,3136.3237513
56221,5869.8832933,,,3940.5754008,,3062.936498
56222,1373.816988,,,976.35032549,,764.46947087
56223,3615.0831373,,,2395.5958108,,1679.81128
56225,39574.78,,,28979.357758,,21350.08
56227,3721.1982381,,,2500.6665853,,1952.3478308
56228,1633.961509,,,1162.9154532,,913.30155393
56230,2441.6816732,,,1983.0361568,,1445.6340818
56231,2368.3900251,,,2063.4618251,,1192.9559571
56234,2744.4034482,,,1437.4633352,,1037.0745442
56235,1255.7589688,,,897.90964416,,715.00819838
56236,7267.9281565,,,4700.257475,,3753.6164368
56237,2836.8052637,,,2017.9938763,,1609.9869994
56240,6101.7460503,,,3917.7529452,,3077.0204391
56241,2055.5352995,,,1385.9035047,,1083.0972627
56242,4874.772446,,,3306.0987564,,2740.2583992
56245,3242.4264552,,,2316.4414512,,1833.5253879
56246,3505.9856921,,,2327.8039335,,1629.8808189
56249,28222.401132,,,20231.068863,,16124.895631
56254,880.5852,,,576.3166,,432.47871929
56256,2995.0047405,,,1107.6340465,,641.96191155
56258,2609.4654655,,,1662.7050618,,1269.4179051
56260,2433.7681294,,,1548.6280101,,1180.9310566
56261,3056.0531749,,,2049.8771809,,1547.3717308
56262,6989.2738003,,,5019.0464655,,3832.9093963
56264,1951.2970054,,,1392.0209661,,1060.0169028
56266,16128.145085,,,11598.457315,,8862.9261304
56271,20020.221078,,,12825.494235,,10274.858308
56272,1878.1286836,,,670.34397685,,394.0221
56274,3168.8257109,,,2268.564833,,1432.0167751
56275,2318.5421179,,,1620.4443847,,1336.8276214
56277,13230.386242,,,7681.7870714,,5770.4329104
56279,1263.645606,,,879.2713835,,725.29729253
56281,3310.2582736,,,2227.2148648,,1738.376393
56282,4030.697105,,,2708.0725733,,2112.3181965
56284,1693.1314163,,,1142.9060382,,893.83181819
56285,1622.0004342,,,1064.9822496,,859.44265725
56288,6539.6926046,,,4389.4379877,,3409.140158
56289,1366.9374858,,,976.67350089,,777.94273494
56291,3645.0474689,,,1835.9707725,,1306.0359532
56298,4786.3336698,,,3423.6692553,,2716.8148993
56299,2544.9969182,,,1779.5521096,,1468.1049334
56301,5435.347063,,,3649.3775135,,2838.338197
56302,13983.53418,,,9377.8159166,,7256.6310101
56303,4922.7365393,,,3711.4587708,,2339.1829372
56304,1322.1168768,,,939.273097,,734.89116104
56305,2825.8419228,,,2017.6838751,,1595.1919282
56309,8084.0409118,,,5424.3596652,,4207.3659027
56311,23257.454357,,,14888.126187,,11930.308143
56312,2812.2554631,,,2011.8567468,,1533.8867402
56315,5253.2883491,,,3413.5573823,,2429.5661574
56318,2010.1953939,,,1445.3074903,,1119.6846751
56322,5110.0119044,,,3325.3219582,,2650.1055696
56323,1599.3500897,,,1050.3575636,,847.98445621
56326,2970.3884303,,,2078.4332796,,1714.7071435
56330,1760.0369862,,,1135.8752694,,885.94629996
56332,1574.5345595,,,990.74344233,,748.19330208
56333,4895.136918,,,3511.4000073,,2680.3005857
56335,4795.7703565,,,1740.2453222,,989.9337353
56338,916.11833514,,,609.21416876,,502.35585842
56341,3144.9387492,,,1208.8105106,,574.19827085
56347,3251.8544105,,,3465.4931634,,2459.3640249
56348,4454.2044862,,,2907.4684338,,2314.7400929
56351,6940.5362769,,,4815.1556398,,3591.3030841
56352,8072.0734301,,,5212.6257822,,4164.8386273
56354,4159.2656582,,,2528.65913,,2178.7712943
56358,5833.3004071,,,4089.9225946,,3374.3557279
56360,3159.8963706,,,1688.5713669,,1249.1954741
56361,7409.1840858,,,4755.4720621,,3736.8282765
56362,1894.8513729,,,1264.7871294,,952.85156305
56363,1302.9414867,,,814.40305094,,611.41026591
56365,39574.78,,,29365.5,,21350.08
56366,9705.3622411,,,6810.4431936,,5619.0150097
56367,1544.152655,,,971.01703005,,732.89199452
56369,4456.5969473,,,2996.7866505,,2264.4318637
56370,7801.1254089,,,5472.5214998,,4515.1166054
56371,6494.0332487,,,4358.8400604,,3385.540253
56373,3097.7022739,,,1110.6769365,,616.81083683
56376,3931.1721028,,,2490.0880552,,2271.6796508
56378,1111.0123322,,,795.3646233,,633.07184289
56381,2847.6337533,,,2018.5397509,,1555.5837292
56389,1522.4261878,,,1086.8286836,,416.51306106
56391,961.52529049,,,689.46128647,,548.45209849
56394,9515.352725,,,4641.2086435,,3307.3325395
56396,2887.0555055,,,1935.6176364,,1460.8471296
56398,5256.7284477,,,3684.8216536,,3040.113235
56400,3231.140407,,,1773.9218574,,1258.6186387
56402,1212.3235906,,,777.33243068,,623.30250521
56403,8680.4754702,,,6236.6049877,,2411.1444893
56405,2591.7195004,,,1743.7634796,,1368.5553002
56408,2633.1644639,,,1025.0740817,,576.13216573
56409,18215.368203,,,12789.59526,,10552.320491
56410,1983.1025231,,,1335.9080106,,1053.9800598
56414,4118.4607187,,,2766.8860327,,2157.6804866
56415,7115.4811275,,,5267.2067438,,3963.1103721
56421,4028.8564837,,,2822.1156551,,2328.3079181
56422,1875.1095757,,,1185.901277,,899.57258023
56423,3367.1878944,,,2429.0501399,,1879.9605737
56427,3380.7472005,,,2223.5055848,,1765.797668
56428,1745.108603,,,1244.5869117,,992.01308456
56430,1469.8192252,,,1049.5595476,,836.18073598
